Ticker,Model,Horizon,MAE_Spread,N_Rows
INDU,Random Forest,10,24.2,246
LUCK,Random Forest,10,12.92,246
MARI,Random Forest,10,33.74,246
MCB,Random Forest,10,3.13,246
MEBL,Random Forest,10,3.04,246
MLCF,Random Forest,10,0.78,246
NESTLE,Random Forest,10,163.82,212
NETSOL,Random Forest,10,2.79,246
OGDC,Random Forest,10,3.07,246
PAKT,Random Forest,10,27.29,221
PPL,Random Forest,10,2.58,246
PSO,Random Forest,10,3.91,246
SYS,Random Forest,10,6.87,246
TRG,Random Forest,10,1.38,246
UBL,Random Forest,10,3.69,246
UNITY,Random Forest,10,0.61,246
BAHL,XGBoost,10,2.01,246
COLG,XGBoost,10,17.11,246
DGKC,XGBoost,10,1.82,246
EFERT,XGBoost,10,2.47,246
ENGROH,XGBoost,10,3.17,246
FFC,XGBoost,10,3.93,246
HBL,XGBoost,10,2.17,246
HUBC,XGBoost,10,2.56,246
ILP,XGBoost,10,1.31,246
INDU,XGBoost,10,28.68,246
LUCK,XGBoost,10,14.21,246
MARI,XGBoost,10,42.16,246
MCB,XGBoost,10,3.39,246
MEBL,XGBoost,10,3.57,246
MLCF,XGBoost,10,0.81,246
NESTLE,XGBoost,10,153.05,212
NETSOL,XGBoost,10,3.11,246
OGDC,XGBoost,10,3.53,246
PAKT,XGBoost,10,29.95,221
PPL,XGBoost,10,2.7,246
PSO,XGBoost,10,4.31,246
SYS,XGBoost,10,7.55,246
TRG,XGBoost,10,1.6,246
UBL,XGBoost,10,3.76,246
UNITY,XGBoost,10,0.58,246
BAHL,LSTM,10,1.97,216
COLG,LSTM,10,17.57,216
DGKC,LSTM,10,1.78,216
EFERT,LSTM,10,2.97,216
ENGROH,LSTM,10,3.34,216
FFC,LSTM,10,4.39,216
HBL,LSTM,10,2.57,216
HUBC,LSTM,10,2.38,216
ILP,LSTM,10,1.55,216
INDU,LSTM,10,30.91,216
LUCK,LSTM,10,16.71,216
MARI,LSTM,10,42.14,216
MCB,LSTM,10,4.76,216
MEBL,LSTM,10,4.69,216
MLCF,LSTM,10,0.94,216
NESTLE,LSTM,10,230.62,182
NETSOL,LSTM,10,4.02,216
OGDC,LSTM,10,3.11,216
PAKT,LSTM,10,32.15,191
PPL,LSTM,10,2.73,216
PSO,LSTM,10,4.83,216
SYS,LSTM,10,10.99,216
TRG,LSTM,10,1.53,216
UBL,LSTM,10,6.5,216
UNITY,LSTM,10,0.83,216
BAHL,GRU,10,3.01,216
COLG,GRU,10,31.89,216
DGKC,GRU,10,2.46,216
EFERT,GRU,10,3.98,216
ENGROH,GRU,10,4.34,216
FFC,GRU,10,6.11,216
HBL,GRU,10,2.81,216
HUBC,GRU,10,3.52,216
ILP,GRU,10,1.67,216
INDU,GRU,10,59.52,216
LUCK,GRU,10,19.99,216
MARI,GRU,10,99.6,216
MCB,GRU,10,4.85,216
MEBL,GRU,10,4.76,216
MLCF,GRU,10,0.99,216
NESTLE,GRU,10,219.8,182
NETSOL,GRU,10,4.01,216
OGDC,GRU,10,3.8,216
PAKT,GRU,10,42.74,191
PPL,GRU,10,3.34,216
PSO,GRU,10,5.61,216
SYS,GRU,10,9.28,216
TRG,GRU,10,1.79,216
UBL,GRU,10,6.03,216
UNITY,GRU,10,0.73,216
BAHL,Linear Regression,20,1.7,246
COLG,Linear Regression,20,13.23,246
DGKC,Linear Regression,20,1.67,246
EFERT,Linear Regression,20,2.31,246
ENGROH,Linear Regression,20,2.98,246
FFC,Linear Regression,20,3.6,246
HBL,Linear Regression,20,1.87,246
HUBC,Linear Regression,20,1.99,246
ILP,Linear Regression,20,1.03,246
INDU,Linear Regression,20,22.48,246
LUCK,Linear Regression,20,12.71,246
MARI,Linear Regression,20,31.1,246
MCB,Linear Regression,20,3.04,246
MEBL,Linear Regression,20,2.98,246
MLCF,Linear Regression,20,0.75,246
NESTLE,Linear Regression,20,115.84,212
NETSOL,Linear Regression,20,2.82,246
OGDC,Linear Regression,20,2.8,246
PAKT,Linear Regression,20,26.07,221
PPL,Linear Regression,20,2.31,246
PSO,Linear Regression,20,3.8,246
SYS,Linear Regression,20,6.99,246
TRG,Linear Regression,20,1.28,246
UBL,Linear Regression,20,3.42,246
UNITY,Linear Regression,20,0.47,246
BAHL,Random Forest,20,2.25,246
COLG,Random Forest,20,16.79,246
DGKC,Random Forest,20,1.76,246
EFERT,Random Forest,20,2.85,246
ENGROH,Random Forest,20,3.33,246
FFC,Random Forest,20,4.48,246
HBL,Random Forest,20,2.14,246
HUBC,Random Forest,20,2.55,246
ILP,Random Forest,20,1.2,246
INDU,Random Forest,20,24.68,246
LUCK,Random Forest,20,13.83,246
MARI,Random Forest,20,37.75,246
MCB,Random Forest,20,3.65,246
MEBL,Random Forest,20,3.54,246
MLCF,Random Forest,20,0.88,246
NESTLE,Random Forest,20,159.45,212
NETSOL,Random Forest,20,3.06,246
OGDC,Random Forest,20,3.16,246
PAKT,Random Forest,20,37.22,221
