Ticker,Model,Target,MAE,MAPE,Accuracy_%
PPL,Linear Regression,Target_High,2.08,1.56,98.44
PPL,Naive Baseline,Target_High,2.4,1.75,98.25
PPL,LSTM,Target_High,5.81,4.35,95.65
PPL,Random Forest,Target_Low,1.62,1.27,98.73
PPL,XGBoost,Target_Low,1.68,1.31,98.69
PPL,Linear Regression,Target_Low,1.84,1.47,98.53
PPL,Naive Baseline,Target_Low,2.1,1.63,98.37
PPL,LSTM,Target_Low,6.35,4.76,95.24
PSO,Linear Regression,Target_High,3.08,1.37,98.63
PSO,Random Forest,Target_High,3.31,1.45,98.55
PSO,Naive Baseline,Target_High,3.73,1.68,98.32
PSO,XGBoost,Target_High,4.21,1.69,98.31
PSO,LSTM,Target_High,10.79,4.09,95.91
PSO,Random Forest,Target_Low,2.76,1.36,98.64
PSO,Linear Regression,Target_Low,2.82,1.4,98.6
PSO,Naive Baseline,Target_Low,3.63,1.74,98.26
PSO,XGBoost,Target_Low,4.12,1.78,98.22
PSO,LSTM,Target_Low,12.36,4.82,95.18
SYS,Linear Regression,Target_High,5.25,1.11,98.89
SYS,Naive Baseline,Target_High,6.04,1.27,98.73
SYS,Random Forest,Target_High,6.53,1.41,98.59
SYS,XGBoost,Target_High,7.42,1.57,98.43
SYS,LSTM,Target_High,10.63,2.24,97.76
SYS,Linear Regression,Target_Low,4.74,1.06,98.94
SYS,Random Forest,Target_Low,5.69,1.27,98.73
SYS,XGBoost,Target_Low,5.7,1.27,98.73
SYS,Naive Baseline,Target_Low,6.32,1.38,98.62
SYS,LSTM,Target_Low,9.82,2.16,97.84
TRG,Random Forest,Target_High,1.0,1.56,98.44
TRG,XGBoost,Target_High,1.08,1.7,98.3
TRG,Naive Baseline,Target_High,1.36,2.12,97.88
TRG,Linear Regression,Target_High,1.39,2.22,97.78
TRG,LSTM,Target_High,12.08,20.71,79.29
TRG,XGBoost,Target_Low,0.94,1.55,98.45
TRG,Random Forest,Target_Low,0.96,1.58,98.42
TRG,Naive Baseline,Target_Low,1.18,1.92,98.08
TRG,Linear Regression,Target_Low,1.38,2.31,97.69
TRG,LSTM,Target_Low,17.77,31.37,68.63
UBL,Linear Regression,Target_High,2.81,1.05,98.95
UBL,Random Forest,Target_High,3.41,1.26,98.74
UBL,Naive Baseline,Target_High,3.45,1.28,98.72
UBL,XGBoost,Target_High,7.37,2.65,97.35
UBL,LSTM,Target_High,7.59,2.8,97.2
UBL,Linear Regression,Target_Low,2.61,1.04,98.96
UBL,Naive Baseline,Target_Low,3.12,1.22,98.78
UBL,Random Forest,Target_Low,3.09,1.24,98.76
UBL,LSTM,Target_Low,7.12,2.75,97.25
UBL,XGBoost,Target_Low,8.13,3.0,97.0
UNITY,Random Forest,Target_High,0.4,1.42,98.58
UNITY,Naive Baseline,Target_High,0.46,1.66,98.34
UNITY,XGBoost,Target_High,0.54,1.96,98.04
UNITY,Linear Regression,Target_High,1.4,5.06,94.94
UNITY,LSTM,Target_High,20.76,74.47,25.53
UNITY,Random Forest,Target_Low,0.37,1.41,98.59
UNITY,XGBoost,Target_Low,0.39,1.52,98.48
UNITY,Naive Baseline,Target_Low,0.47,1.77,98.23
UNITY,Linear Regression,Target_Low,1.13,4.5,95.5
UNITY,LSTM,Target_Low,22.54,83.3,16.7
