Ticker,Target,Horizon,Model,Feature_1,Direction_1,Feature_2,Direction_2,Feature_3,Direction_3
HALEON,Close,1,XGBoost,Body,up,Upper_Wick,down,Volume_Ratio,up
HBL,Close,1,XGBoost,Open_Close_Range,up,Body,up,Return_1d,down
HMB,Close,1,XGBoost,Open_Close_Range,down,Body,down,BB_PercentB,up
ILP,Close,1,Random Forest,Open_Close_Range,down,DayOfWeek,up,Month,up
KOHC,Close,1,Random Forest,Open_Close_Range,up,Month,up,RSI_14,up
KTML,Close,1,Random Forest,Open_Close_Range,down,DayOfWeek,up,Month,up
MARI,Close,1,Random Forest,Open_Close_Range,down,DayOfWeek,up,Month,up
MCB,Close,1,Random Forest,Open_Close_Range,down,RSI_14,up,Month,up
MEBL,Close,1,XGBoost,Open_Close_Range,up,Body,up,Upper_Wick,down
MTL,Close,1,Random Forest,MACD_Hist_Pct,down,Open_Close_Range,down,DayOfWeek,up
NATF,Close,1,Random Forest,Open_Close_Range,up,Month,up,DayOfWeek,up
NBP,Close,1,Random Forest,Open_Close_Range,up,DayOfWeek,up,Month,up
NESTLE,Close,1,Random Forest,DayOfWeek,up,Open_Close_Range,down,Volume_lag_1,up
NML,Close,1,XGBoost,BB_PercentB,up,DayOfWeek,up,Volume_Ratio,down
OGDC,Close,1,XGBoost,DayOfWeek,up,Body,down,Return_lag_5,down
PABC,Close,1,Random Forest,Month,up,Upper_Wick,down,RSI_14,up
PAEL,Close,1,XGBoost,Open_Close_Range,down,Month,up,Volume_lag_5,up
PGLC,Close,1,XGBoost,DayOfWeek,up,ATR_Pct,down,Month,up
PIBTL,Close,1,Random Forest,Open_Close_Range,down,Month,up,RSI_14,up
PKGS,Close,1,XGBoost,Body,down,Lower_Wick,up,Upper_Wick,down
PSEL,Close,1,Random Forest,Open_Close_Range,up,Volume,down,DayOfWeek,up
PSX,Close,1,XGBoost,Open_Close_Range,up,Return_1d,down,Body,up
PTC,Close,1,Random Forest,DayOfWeek,up,Open_Close_Range,down,Month,up
RMPL,Close,1,Random Forest,Volume,down,Volume_SMA_20,up,DayOfWeek,up
SAZEW,Close,1,Random Forest,Open_Close_Range,up,DayOfWeek,up,Rolling_Max_20,up
SSGC,Close,1,Random Forest,Open_Close_Range,up,Log_Return,down,Return_1d,down
