Ticker,Model,Target,MAE,MAPE,Accuracy_%,FeatureSet
NETSOL,Linear Regression,Target_High,2.09,1.58,98.42,"Old (price target, raw features)"
NETSOL,Random Forest,Target_High,1.97,1.48,98.52,"New (return target, stationary features)"
NETSOL,Random Forest,Target_High,2.04,1.53,98.47,"Old (price target, raw features)"
NETSOL,XGBoost,Target_High,2.0,1.51,98.49,"New (return target, stationary features)"
NETSOL,XGBoost,Target_High,2.01,1.52,98.48,"Old (price target, raw features)"
NETSOL,LSTM,Target_Low,2.04,1.58,98.42,"New (return target, stationary features)"
NETSOL,LSTM,Target_Low,6.32,4.99,95.01,"Old (price target, raw features)"
NETSOL,Linear Regression,Target_Low,1.95,1.56,98.44,"New (return target, stationary features)"
NETSOL,Linear Regression,Target_Low,2.06,1.63,98.37,"Old (price target, raw features)"
NETSOL,Random Forest,Target_Low,1.98,1.58,98.42,"New (return target, stationary features)"
NETSOL,Random Forest,Target_Low,1.91,1.53,98.47,"Old (price target, raw features)"
NETSOL,XGBoost,Target_Low,2.03,1.62,98.38,"New (return target, stationary features)"
NETSOL,XGBoost,Target_Low,1.87,1.5,98.5,"Old (price target, raw features)"
OGDC,LSTM,Target_High,2.19,1.4,98.6,"New (return target, stationary features)"
OGDC,LSTM,Target_High,7.83,4.92,95.08,"Old (price target, raw features)"
OGDC,Linear Regression,Target_High,2.23,1.46,98.54,"New (return target, stationary features)"
OGDC,Linear Regression,Target_High,2.37,1.56,98.44,"Old (price target, raw features)"
OGDC,Random Forest,Target_High,2.2,1.44,98.56,"New (return target, stationary features)"
OGDC,Random Forest,Target_High,2.34,1.51,98.49,"Old (price target, raw features)"
OGDC,XGBoost,Target_High,2.21,1.45,98.55,"New (return target, stationary features)"
OGDC,XGBoost,Target_High,2.22,1.44,98.56,"Old (price target, raw features)"
OGDC,LSTM,Target_Low,1.6,1.07,98.93,"New (return target, stationary features)"
OGDC,LSTM,Target_Low,8.2,5.2,94.8,"Old (price target, raw features)"
OGDC,Linear Regression,Target_Low,1.79,1.23,98.77,"New (return target, stationary features)"
