Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%
MLCF,Open,1,366,0.92,LSTM,0.88,4.769005148781348,0.88,False,4.104142003234795
NESTLE,Open,1,366,58.77,LSTM,60.82,-3.4912010607603774,60.35,True,-2.687920235817943
NETSOL,Open,1,366,0.99,LSTM,0.95,4.057692245449048,0.95,True,4.367434044617962
OGDC,Open,1,366,1.8,Random Forest,1.72,4.293861598900344,1.72,True,4.465260683018142
PAKT,Open,1,366,11.88,LSTM,11.84,0.3766671154785704,12.08,False,-1.636687615878888
PPL,Open,1,366,1.69,Random Forest,1.6,4.950361347526481,1.58,True,6.320622175019393
PSO,Open,1,366,2.81,LSTM,2.7,4.146796893934993,2.66,True,5.459708720830497
SYS,Open,1,364,2.79,LSTM,2.73,2.137829062989631,2.79,False,0.11000839453930149
TRG,Open,1,366,0.6,LSTM,0.55,8.837754208834392,0.56,False,7.199217247337843
UBL,Open,1,366,3.67,LSTM,3.68,-0.22161124592887615,3.61,True,1.4889033648301573
UNITY,Open,1,366,0.18,Random Forest,0.16,6.879374006576274,0.17,False,5.666822691051811
BAHL,Close,5,362,5.25,LSTM,5.39,-2.690101513955283,5.4,False,-2.988542014270381
COLG,Close,5,362,17.5,LSTM,17.35,0.853535839485813,18.02,False,-2.9634770758213107
DGKC,Close,5,362,8.75,Linear Regression,8.63,1.35431925363607,8.64,False,1.237522479733064
EFERT,Close,5,362,6.0,Linear Regression,5.93,1.191762536602819,5.96,False,0.6916487699141838
ENGROH,Close,5,362,8.92,Linear Regression,8.98,-0.6557192579447455,9.11,False,-2.1350592107203754
FFC,Close,5,362,14.37,LSTM,14.16,1.4727735897023204,13.78,True,4.137590002092627
HBL,Close,5,362,10.43,Linear Regression,10.11,3.0762440571219214,10.01,True,4.0445618646731205
HUBC,Close,5,362,6.3,LSTM,6.23,1.1461757303694262,6.22,True,1.241762009718218
ILP,Close,5,362,3.01,LSTM,3.08,-2.202918674468392,3.07,True,-1.8624583631238114
INDU,Close,5,362,45.57,Linear Regression,45.31,0.5869176041740928,44.73,True,1.8461966424352751
LUCK,Close,5,357,39.88,LSTM,41.14,-3.14822459604238,42.86,False,-7.462826375181582
MARI,Close,5,362,18.69,Linear Regression,18.87,-0.9658655089945202,19.75,False,-5.635922174780087
MCB,Close,5,362,9.46,Linear Regression,9.63,-1.8190910645591616,10.0,False,-5.671257574112612
MEBL,Close,5,362,13.12,LSTM,13.05,0.5518250031172611,13.62,False,-3.8242202926707485
MLCF,Close,5,362,4.43,Linear Regression,4.46,-0.707289915200452,4.48,False,-1.0938619935412386
NESTLE,Close,5,362,109.87,LSTM,120.44,-9.623065950476338,126.83,False,-15.442088507338543
NETSOL,Close,5,362,5.2,Linear Regression,5.2,0.07792561256005834,5.34,False,-2.6959458579669398
